post_title,post_parent,ID,post_content,post_excerpt,post_status,sku,parent_sku,children,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
"Classic suit jacket",,164,,,publish,,,,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/091ca0e42d2352d5ebbd3675f6a4193c22f7e802.png ! alt :  ! title : 091ca0e42d2352d5ebbd3675f6a4193c22f7e802 ! desc :  ! caption : ",http://localhost/junior-salon/product/classic-suit-jacket/,Chloé,simple,,"Home category > BABY|POPULAR PICKS",,,BLACK|BLUE|GREEN|RED|WHITE,0|1|1,"1 year|2 Year|Medium|Small",1|1|1
"Baby boy's pants in ecru Lyocell",,182,,,publish,,,,no,,420,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/68f2e1d825a8559833ab6c6097f0806358f763a3.png ! alt :  ! title : 68f2e1d825a8559833ab6c6097f0806358f763a3 ! desc :  ! caption : ",http://localhost/junior-salon/product/baby-boys-pants-in-ecru-lyocell/,Givenchy,simple,,"Home category > BABY|best seller|what's hot",,,,,,
