post_title,post_name,post_content,post_excerpt,post_status,sku,stock,regular_price,sale_price,width,visibility,stock_status,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
"Classic suit jacket",classic-suit-jacket,,,publish,,,,,,,instock,Chloé,simple,,"Home category > BABY|POPULAR PICKS",,,BLACK|BLUE|GREEN|RED|WHITE,0|1|1,"1 year|2 Year|Medium|Small",1|1|1
"Baby boy's pants in ecru Lyocell",baby-boys-pants-in-ecru-lyocell,,,publish,,,420,,,,instock,Givenchy,simple,,"Home category > BABY|best seller|what's hot",,,,,,
"trendy suit jacket",trendy-suit-jacket,,,publish,,,,,,,instock,Chloé,simple,,"Home category > BABY|POPULAR PICKS",,,BLACK|BLUE|GREEN|RED|WHITE,0|1|0,"2 Year|3 year|Medium|Small",0|1|0
